timeStamop, method, fileName, #c, #parking, #mm, #sev, time, objValue, gap
03-02-2026-02-00,c,"ce3-6,4,50",50,9,5,10,2046.4023370742798,806.7499969562032,/
03-02-2026-02-00,c,"ci5-3,5,50",50,7,4,9,2195.82249212265,730.028027536933,/
03-02-2026-02-01,bp,"cg5-3,5,50",50,7,4,10,2261.222165107727,734.297541592402,/
03-02-2026-02-03,c,"cg4-6,4,50",50,9,5,9,2370.1950340270996,714.3846426387076,/
03-02-2026-02-03,bp,"cg1-2,3,50",50,4,2,11,2394.9212107658386,830.3738660213644,/
03-02-2026-02-05,c,"ce4-2,3,50",50,4,2,12,2373.0962421894073,863.4433060810156,/
03-02-2026-02-07,bp,"cf5-6,4,50",50,9,5,9,2629.3267619609833,869.1607843357073,/
03-02-2026-02-09,c,"ci2-2,3,50",50,4,2,12,2725.0234570503235,945.7812721458064,/
03-02-2026-02-12,bp,"cf2-3,5,50",50,7,4,10,2862.587482213974,766.4364529843597,/
03-02-2026-02-16,bp,"cg3-3,5,50",50,7,4,10,3131.453106880188,709.9509426919051,/
03-02-2026-02-16,c,"ci3-6,4,50",50,9,5,10,3122.6858971118927,832.395891662743,/
03-02-2026-02-16,bp,"cf4-6,4,50",50,9,5,9,3183.6637501716614,786.9236342416373,/
03-02-2026-02-18,bp,"ci3-6,4,50",50,9,5,10,3220.8882479667664,849.3115473070271,/
03-02-2026-02-18,bp,"ce1-3,5,50",50,7,4,10,3181.8154788017273,747.1581716692968,/
03-02-2026-02-22,c,"ce2-6,4,50",50,9,5,9,3367.67706489563,834.1720070602807,/
03-02-2026-02-22,c,"ce3-2,3,50",50,4,2,12,3373.9906837940216,927.1674916836239,/
03-02-2026-02-23,bp,"ce2-6,4,50",50,9,5,9,3451.2063241004944,858.6047381912606,/
03-02-2026-02-24,bp,"cf2-2,3,50",50,4,2,10,3611.0941519737244,871.4055192546507,/
03-02-2026-02-39,bp,"cf2-6,4,50",50,9,5,10,4483.467826843262,899.326492355375,/
03-02-2026-02-40,c,"cg1-2,3,50",50,4,2,11,4612.537986040115,830.3738660214374,/
03-02-2026-02-46,bp,"ci5-6,4,50",50,9,5,9,4935.63618683815,863.2141620097491,/
03-02-2026-02-47,bp,"cf1-2,3,30",30,4,2,7,5027.868123054504,610.6036536130316,/
03-02-2026-02-54,bp,"ci2-3,5,50",50,7,4,10,5437.368889093399,733.06895306762,/
03-02-2026-03-04,bp,"cg4-3,5,50",50,7,4,10,6025.84588098526,743.1501653622407,/
03-02-2026-03-18,bp,"cg5-2,3,50",50,4,2,11,6880.25212097168,843.6691479790622,/
03-02-2026-03-31,c,"cf2-3,5,50",50,7,4,10,7681.067075967789,766.4364529843598,/
03-02-2026-03-43,c,"ci3-3,5,50",50,7,4,10,8350.518283128738,734.7370356655524,/
03-02-2026-03-54,bp,"ce3-3,5,50",50,7,4,9,8894.480954885483,707.0499370326282,/
03-02-2026-03-57,c,"ce3-3,5,50",50,7,4,9,9023.792648077011,705.8567385806214,/
03-02-2026-04-00,bp,"ce5-6,4,50",50,9,5,9,9417.4106798172,815.9994894697309,/
03-02-2026-04-22,bp,"ci2-2,3,50",50,4,2,12,10707.956194162369,945.7812721458063,/
03-02-2026-04-24,c,"cf4-6,4,50",50,9,5,9,10844.687377929688,775.231515834943,0.005273612734560434
03-02-2026-04-24,c,"cf5-3,5,50",50,7,4,9,10850.823155879974,742.2162789612182,0.016734873042971363
03-02-2026-04-24,c,"cf4-3,5,100",100,7,4,20,10853.410228013992,1311.504897136802,0.08263464278614348
03-02-2026-04-24,c,"cg3-3,5,50",50,7,4,10,10853.407050132751,703.1304694279428,0.01030608280429037
03-02-2026-04-24,c,"cg3-6,4,50",50,9,5,10,10854.107897996902,786.5064664884293,0.005027815775373588
03-02-2026-04-24,c,"cf3-6,4,100",100,9,5,18,10860.372694015503,1418.831231222048,0.06787184938891269
03-02-2026-04-24,c,"cg2-6,4,50",50,9,5,9,10857.97980594635,784.997379175838,0.008185698661556223
03-02-2026-04-24,c,"cg2-3,5,50",50,7,4,10,10858.66178894043,720.6513103719648,0.007193936576593716
7
03-02-2026-04-24,c,"cg2-2,3,50",50,4,2,11,10861.089444160461,869.405574562187,0.008419169732445095
03-02-2026-04-24,c,"cg1-6,4,100",100,9,5,18,10861.525993824005,1351.8056673318436,0.10296081284574428
03-02-2026-04-24,c,"cg2-3,5,100",100,7,4,19,10861.463855028152,1203.0237441539912,0.08039688464586964
03-02-2026-04-24,c,"cg4-2,3,50",50,4,2,11,10861.741394042969,851.4229013483098,0.010270333902854856
03-02-2026-04-24,c,"cg1-6,4,50",50,9,5,9,10864.712709903717,777.3590483029205,0.00858398659222801
03-02-2026-04-24,c,"cg1-3,5,50",50,7,4,9,10870.213292121887,727.8770148121218,0.01636191487243003
03-02-2026-04-24,c,"cg1-3,5,100",100,7,4,20,10871.298681974411,1267.7012540585633,0.07182990620316439
03-02-2026-04-24,c,"cg2-2,3,100",100,4,2,22,10874.762212991714,1539.2317152587439,0.0534883628515166
03-02-2026-04-25,c,"ci5-2,3,100",100,4,2,23,10856.305299043655,1544.0321929288923,0.03784291133669257
03-02-2026-04-25,c,"ci5-6,4,100",100,9,5,19,10857.738644123077,1316.9406220197584,0.016459183694037652
03-02-2026-04-25,c,"ci3-3,5,100",100,7,4,19,10860.71490907669,1200.034014903406,0.019521926900514634
03-02-2026-04-25,c,"ci4-2,3,100",100,4,2,22,10861.62238907814,1580.4354447352957,0.04570730619137651
03-02-2026-04-25,c,"ci3-6,4,100",100,9,5,17,10863.75929903984,1329.1675073217807,0.02095160847626479
03-02-2026-04-25,c,"ci4-3,5,100",100,7,4,19,10864.22152018547,1194.2862814088107,0.02517564631337707
03-02-2026-04-25,c,"ci2-3,5,100",100,7,4,19,10854.527559995651,1195.3316045573174,0.016557840452315793
03-02-2026-04-25,c,"ci3-2,3,100",100,4,2,22,10857.958174943924,1378.0782145918101,0.013895431725717531
03-02-2026-04-25,c,"ci2-6,4,100",100,9,5,18,10859.239135026932,1354.6936403407913,0.024066151217272656
03-02-2026-04-25,c,"cg5-6,4,50",50,9,5,10,10861.496058940887,867.8516229397983,0.015825311950689754
03-02-2026-04-25,c,"ci1-2,3,100",100,4,2,23,10862.368431091309,1473.8341385875976,0.014989858613723872
03-02-2026-04-25,c,"ce1-2,3,100",100,4,2,24,10857.472950935364,1519.2963371388778,0.022765417861357617
03-02-2026-04-25,c,"ci1-3,5,100",100,7,4,19,10865.299819946289,1435.8396041557037,0.036913415365432495
03-02-2026-04-25,c,"ci1-6,4,100",100,9,5,19,10871.815972089767,1328.376238873399,0.021188158375982084
03-02-2026-04-26,c,"ce5-2,3,100",100,4,2,23,10856.513339996338,1531.9661835542465,0.01958732335965337
03-02-2026-04-26,c,"cf1-6,4,50",50,9,5,9,10860.642719984055,830.0367088044484,0.01935648827185297
03-02-2026-04-26,c,"cf1-3,5,100",100,7,4,19,10861.807110071182,1336.072401031504,0.07276314080999942
03-02-2026-04-26,c,"ce5-6,4,100",100,9,5,19,10862.944630146027,1316.9406220197584,0.016815463223285896
03-02-2026-04-26,c,"ce5-3,5,100",100,7,4,19,10866.255023956299,1231.9807991187076,0.020919355701597735
03-02-2026-04-27,c,"ce1-3,5,100",100,7,4,19,10853.863873004913,1301.0137739488678,0.055624871162716846
03-02-2026-04-27,c,"ce3-2,3,100",100,4,2,23,10858.403362035751,1410.2532340129435,0.011626640230482627
